SR2,SR1,T1,T3,T2,GH3,GH2,GH1,R1,S1,S2,Lat,Long
-2.6625345,-1.1290513,-3.3484688,0.20596468,-0.53646135,-0.14365079,0.0140715875,-1.7453918,0.1984659,-1.8504477,-1.0843524,0.25458395,0.6248484
-2.9846733,-0.9488766,-2.363325,-0.09882219,-0.35354167,-0.074148566,0.021038715,0.80195284,-0.5465429,-1.9432565,-0.9750396,-0.6470671,0.41979507
-1.436376,-1.3475384,-2.1372993,-0.483757,-0.31557068,-0.17077035,0.0108544035,-1.6480386,0.027499545,-2.1390116,0.5751724,0.255947,0.24539594
-1.1750791,-0.93519974,-0.11621035,-0.17387903,0.655332,-0.2195425,-0.20098247,-0.38084266,-0.61872184,-2.4819067,-2.7695136,-0.42325208,0.35583058
0.07954228,0.84318745,2.0261264,0.58253807,2.8362536,-0.0009209546,-0.12853158,0.28941485,0.17354362,0.6719761,0.28136355,-0.046309993,-0.26199287
-0.75938874,0.43760958,-2.914238,-0.31467402,-1.0992308,-0.14157192,-0.037568863,-1.4719738,-0.057663105,-1.0447279,-0.73264885,-0.21263283,0.4111803
-0.95867246,0.11015659,-2.626975,0.06289314,-0.5679381,-0.17342654,-0.18438034,-1.7915071,-0.301943,-2.500263,-0.8489857,0.11441669,0.6316919
-1.9062833,-0.18092711,0.6617395,0.71158916,0.12092446,-0.106999226,-1.4083701,0.2226614,-0.7047229,-2.0352724,-0.22405612,-0.4138747,-0.48614728
-2.847975,-0.9899117,-3.0550444,-0.016408078,-0.6836808,-0.061834596,0.031268187,-0.9443367,-0.6518607,-0.8153067,-0.79267377,-0.324613,0.3540137
-2.7113008,-0.8449485,-3.0425467,-0.1615545,-0.44446033,-0.11916069,-0.06706884,-0.8118473,-0.35693702,-1.0041388,-0.9065747,-0.14147785,0.4811373
-4.151857,-1.6318545,-3.3889582,-0.018845072,-0.37505382,0.31204936,-0.12326483,-0.066442706,-0.5323195,0.26960993,-0.6939928,-0.49935922,0.44129795
