Date,SR2,SR1,T1,T3,T2,GH3,GH2,GH1,R1,S1,S2,Lat,Long,ID,Target
2001-12-19 00:00:00,0.334221412,7.727056019,0.491000186,0.043478261,0.515816744,0.158509915,0.416427951,11.05599905,0.059676946,0.346598316,0.009139509,29.99,-89.66,1,0
2001-12-20 00:00:00,0.334431746,7.643623361,0.491371312,0.065217391,0.509680938,0.146637394,0.353047082,11.10773854,0.059676946,0.340505309,0.010076895,29.99,-89.66,1,0
2001-12-21 00:00:00,0.331977845,7.343265793,0.493041381,0.059782609,0.503954186,0.141240793,0.322003391,11.15947802,0.080563877,0.333006225,0.011482973,29.99,-89.66,1,0
2001-12-22 00:00:00,0.31844633,7.379022646,0.495082576,0.092391304,0.50436324,0.142320113,0.302601085,11.11549946,0.080563877,0.32550714,0.011482973,29.99,-89.66,1,0
2001-12-23 00:00:00,0.303652808,7.402860548,0.499164966,0.097826087,0.50436324,0.127209632,0.356927544,11.010727,0.021632893,0.313086781,0.016404248,29.99,-89.66,1,0
2001-12-24 00:00:00,0.296992218,7.681764005,0.500835034,0.054347826,0.504772293,0.120733711,0.400906106,10.86585645,0.021259912,0.295042109,0.022028561,29.99,-89.66,1,0
2001-12-25 00:00:00,0.291944191,7.666269368,0.499907218,0.065217391,0.503545132,0.074322946,0.43065631,10.74556214,0.021632893,0.280512633,0.018513365,29.99,-89.66,1,0
2001-12-26 00:00:00,0.276028886,7.700834327,0.49768046,0.092391304,0.500681756,0.070005666,0.378916825,10.73133378,0.044011747,0.270435738,0.013826437,29.99,-89.66,1,0
2001-12-27 00:00:00,0.262777817,7.660309893,0.495082576,0.10326087,0.498227434,0.054895184,0.373742876,10.74168168,0.023497797,0.260827536,0.013357744,29.99,-89.66,1,0
2001-12-28 00:00:00,0.275608217,7.854588796,0.492299128,0.10326087,0.495364058,0.131526912,0.320709904,10.6795943,0.023497797,0.242782863,0.021794215,29.99,-89.66,1,0
2001-12-29 00:00:00,0.28619505,8.027413588,0.487288922,0.048913043,0.489228252,0.11101983,0.267676932,10.57094138,0.023124816,0.206693519,0.039838887,29.99,-89.66,1,0
2001-12-30 00:00:00,0.295519877,8.027413588,0.483020969,0.097826087,0.484319607,0.194127479,0.322003391,10.38985318,0.023124816,0.182321494,0.028121567,29.99,-89.66,1,0
2001-12-31 00:00:00,0.281217135,8.069129917,0.481165337,0.092391304,0.484728661,0.199524079,0.351753595,10.2475696,0.022751836,0.170838521,0.015232516,29.99,-89.66,1,0
2002-01-01 00:00:00,0.281357358,8.05363528,0.480979774,0.081521739,0.483910554,0.136923513,0.371155902,10.15961248,0.010443465,0.160761626,0.013826437,29.99,-89.66,1,0
2002-01-02 00:00:00,0.286124939,8.021454112,0.479495268,0.065217391,0.482683392,0.157430595,0.372449389,10.13244925,0.010070485,0.151153424,0.012889052,29.99,-89.66,1,0
2002-01-03 00:00:00,0.287036388,8.044100119,0.47671182,0.076086957,0.478183801,0.190889518,0.363394979,10.1272753,0.010070485,0.147169535,0.006561699,29.99,-89.66,1,0
2002-01-04 00:00:00,0.288789175,7.842669845,0.47318612,0.097826087,0.467548405,0.10778187,0.362101492,10.10916648,0.010070485,0.1429513,0.006561699,29.99,-89.66,1,0
2002-01-05 00:00:00,0.28619505,7.592371871,0.467248098,0.059782609,0.454867739,0.164985836,0.275437855,10.06130746,0.026108664,0.138030026,0.007264738,29.99,-89.66,1,0
2002-01-06 00:00:00,0.272803758,7.479141836,0.460196697,0.097826087,0.445868557,0.065688385,0.236633241,10.03155725,0.032449339,0.132171366,0.009842549,29.99,-89.66,1,0
2002-01-07 00:00:00,0.281567693,7.657926103,0.450732975,0.032608696,0.429915462,0.077560907,0.386677748,9.921610847,0.022378855,0.124437935,0.01101428,29.99,-89.66,1,0
2002-01-08 00:00:00,0.278272453,7.991656734,0.439599184,0.016304348,0.4065994,0.096988669,0.301307598,9.768979367,0.022378855,0.116704504,0.01101428,29.99,-89.66,1,0
2002-01-09 00:00:00,0.296922106,7.786650775,0.427537577,0.032608696,0.381238069,0.087274788,0.212056986,9.781914238,0.094737151,0.108736726,0.011482973,29.99,-89.66,1,0
